filename,total_packets,total_bytes,avg_packet_size,duration,max_packet_size,std_packet_size,mean_interarrival_time,std_interarrival_time,first_5s_packet_count,label
twitter_3.pcap,394,155295,394.1497461928934,19.25502586364746,1514,526.7675785815971,0.04899497675228361,0.32432291834435417,249,twitter
twitter_2.pcap,382,146683,383.9869109947644,16.252439975738525,1514,514.3611814912539,0.04265732277096726,0.312462079820349,323,twitter
twitter_5.pcap,460,156837,340.95,27.92228889465332,1514,485.8182726171532,0.060832873408830763,0.3422554538074418,259,twitter
twitter_4.pcap,629,252777,401.8712241653418,21.779798984527588,1514,521.7012386749374,0.03468120857408852,0.207814997694936,393,twitter
twitter_7.pcap,1000,810072,810.072,13.680833101272583,1436,648.2157530317189,0.013694527628901484,0.10761031227638819,309,twitter
twitter_6.pcap,1000,606563,606.563,13.840252876281738,1436,627.611808854497,0.013854106983265004,0.12953943235216578,410,twitter
twitter_1.pcap,1000,655936,655.936,1.4425909519195557,1510,692.699591907364,0.0014440349869064622,0.0029728094758522147,1000,twitter
amazon_1.pcap,1000,719362,719.362,4.250080823898315,1514,676.939292523164,0.004254335159057373,0.03669391447730148,1000,amazon
amazon_6.pcap,1000,800810,800.81,3.4447460174560547,1436,645.4471829406075,0.0034481942116677223,0.0647235296101861,1000,amazon
amazon_7.pcap,1000,715433,715.433,4.1815290451049805,1436,650.2876406072367,0.004185714759864846,0.0694052906161583,1000,amazon
amazon_4.pcap,1000,818678,818.678,4.572487831115723,1436,644.5546936211613,0.004577064896011734,0.06254551037115655,1000,amazon
amazon_8.pcap,1000,732983,732.983,4.188581943511963,1436,651.3176040399433,0.004192774718230193,0.08060680427653055,1000,amazon
amazon_5.pcap,1000,746975,746.975,3.604058027267456,1436,654.7681908574658,0.0036076656929604164,0.04325135935942306,1000,amazon
amazon_2.pcap,1000,507492,507.492,7.783740043640137,1514,608.0736382096213,0.007791531575215352,0.08117860128812651,382,amazon
amazon_3.pcap,1000,381138,381.138,6.751063108444214,1514,519.996684131262,0.006757820929373587,0.0461156310821828,708,amazon
expedia1.pcap,1000,647067,647.067,4.1525959968566895,1514,661.0111483547379,0.004156752749606296,0.03377457641053842,1000,expedia
expedia6.pcap,1000,748107,748.107,4.639986038208008,1436,645.092855597815,0.004644630668876885,0.06703067833469492,1000,expedia
expedia7.pcap,1000,700696,700.696,4.533911943435669,1436,641.6456691576346,0.004538450393829499,0.05505730804109423,1000,expedia
expedia8.pcap,1000,750866,750.866,4.641258001327515,1436,644.5087769826006,0.004645903905232747,0.07567182691776628,1000,expedia
